group_id,equipment_process,equipment_maker,equipment_name,equipment_id,utility,size,path_count,unique_poc_count,avg_similarity,max_start_xy_dist,trunk_z,trunk_xy_spread,trunk_path_count,is_estimated,fan_in_z_min,fan_in_z_max,fan_out_z_min,fan_out_z_max,poc_ids
23,DIFF,-,DANHJ14,9696f5bb-6472-4942-9a6a-66cbe0e1da53,PN2,1/8B,4,4,0.9897,195.0,13360.4,2019.7,4,False,14681.0,15455.5,12321.7,12561.1,09b91176-5a61-4b5a-a158-c1e2cd5e69f2|98153e8f-7d8e-48d1-9ac8-932d3d11db8f|879ec375-ecc0-4252-b1a6-3b64e2e81491|96468def-c655-4ab4-9009-1f686ce1fdc1
24,ETCH,TEST,ELOHJ07,4dbf9af6-759a-4c99-a2bc-845fd0bc2b81,PUMP,50A,4,4,0.8175,2403.2,-,-,-,False,-,-,-,-,b0aa31ec-2559-4cbb-8047-f3f1f6daafed|7290145d-afa9-45b2-a265-9b4d16774ed8|64ce731f-e3e7-4b1c-9638-fe0c592d03b8|984c1024-148e-4d15-a780-b2f3e9f3e4dd
25,PHOTO,TEST,PSTWA03,3317d1fa-ec47-4d85-a5c5-7d23c64ebd02,PV,1/2B,4,4,0.8049,2463.2,10802.3,1210.9,4,False,13493.7,15495.0,-,-,1ed77514-4633-4c7b-bb7e-08df29956986|9b7da154-c1b4-4ee2-b316-aba496205465|b6740c99-ead4-4633-b331-d2179f9c7967|433fe50b-1d49-4cb7-a1ca-d9461ce52104
26,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,-,1/2B,4,4,0.7844,1460.9,15154.1,3972.4,4,False,-,-,-,-,28842927-dd90-43f0-a9b0-2e02d6655fb5|58861b46-4676-4e8f-b84d-543be9ee51ef|c36b20b9-973b-44e1-a480-4e6ed5f1dc9d|2ffe6c74-30a2-4c40-93e1-bd6a9ac76012
27,CLEAN,-,WTNHJ02_,c480262e-d022-45e5-81e0-c30544295ba2,NW,1/2B,4,4,0.7713,3075.0,12211.8,10076.5,4,False,14760.0,15495.0,-,-,627e4092-9de5-4936-8830-abec025e5e85|dcb187e4-cdbd-4c85-a103-eec837d4a1fc|1a877d03-ca1a-4bb4-93fa-9c8d48feeb7d|aa45a6e2-071c-4a20-8bc7-d0536ea46254
28,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,H2,1/4B,4,4,0.7484,2299.8,13601.0,2704.7,4,False,14965.0,15495.0,12210.0,12650.0,b0b6beb1-6003-447d-8191-6901090edbdd|84c629ab-a3f6-425d-a555-c9e022fe7b82|82f5fcdb-bb31-43e2-a301-c16195e178df|6f45ad0a-3e82-4b5d-974b-bcf2f6328870
29,PHOTO,TEST,PSTWA03,3317d1fa-ec47-4d85-a5c5-7d23c64ebd02,OWW,25A,4,4,0.7127,3734.5,13538.8,3344.7,4,False,14750.0,15495.0,-,-,5cc843cd-6307-4f27-b414-f8bde9d4a15e|4e4342de-c21a-4cf4-becb-c3da9cfedc02|6dc0e809-5930-42e4-9e1a-930bbd3d895e|fa9210cb-349b-4e13-a393-bfca14ff1ae8
30,METAL,-,SLWHJ02,b7d7e257-54d5-48bf-b77b-73f2191e6445,PV_VENT,1/4B,4,4,0.689,2378.2,15015.3,2888.8,4,False,15495.0,15495.0,-,-,7cffb761-a474-4634-b11c-29e91a65fd8a|0f3f642e-60a7-4f0d-9705-706ccefae114|691c8b79-f280-402d-a281-9c2498cdce37|c2a2e7cd-0ac3-480a-8045-953742ae9877
31,CMP,-,kscta01,66fe4277-5d3f-4982-b7ae-b72319263ba2,ALKA,50A,3,3,0.9201,1521.5,14766.7,5592.0,3,False,15337.5,15495.0,17000.0,17000.0,0dc415c5-b50b-4819-8458-a234ac600805|0457f5d5-245c-4cd9-9a7d-6577f157ed18|81d2348c-87a8-4cae-8238-bbc05b3658e2
32,METAL,-,VMB_WF6_VMHYT,a7bca915-14b6-4063-8c4f-8e0f6559edc2,WF6,1/4B,3,3,0.8837,160.0,10551.0,692.3,3,False,9995.0,9995.0,13600.0,15495.0,0d9c37f0-bc73-44e3-a7ee-3c16b35c234c|379cf567-cab7-49db-99d2-49c865994e6d|e579384a-4a3a-48e6-8f2f-c3d56842abe0
